Name,College,Title,Role List
Adam Godwin,Troy University,Assistant Coach / Outfield & Base Running Coordinator,['Assistant Coach']
Alec Crawford,University of Minnesota,Pitching Coach,['Pitching Coach']
Anthony Papio,University of Alabama,Assistant Coach,['Assistant Coach']
Ben Brewer,University of Southern Mississippi,Assistant Coach,['Assistant Coach']
Ben Wolgamot,Troy University,Associate Head Coach,['Head Coach']
Blake  Hawksworth,University of Oregon,Assistant Coach,['Assistant Coach']
Blake Allen,University of Indiana,Assistant Coach/Infield,['Assistant Coach']
Brady Kasper,Oregon State University,Undergraduate Assistant Coach,['Assistant Coach']
Brett Price,University of Alabama,Associate Strength and Conditioning Coach (Baseball),['Strength & Conditioning Coach']
Bryce Madron,University of Oklahoma,Student Coach,['Student Assistant Coach']
Bryson  LeBlanc,University of Missouri,Assistant Coach,['Assistant Coach']
Caleb Longley,Texas A&M University,Assistant Coach,['Assistant Coach']
Christian Ostrander,University of Southern Mississippi,Head Coach,['Head Coach']
Chuck Jeroloman,University of Florida,Associate Head Coach,['Head Coach']
Connor Gandossy,University of Minnesota,Assistant Coach,['Assistant Coach']
Connor Lambert,University of Washington,Pitching Coach,['Pitching Coach']
Connor Manola,University of Memphis,Assistant Coach,['Assistant Coach']
Cory Barton,University of Memphis,Pitching Coach,['Pitching Coach']
DC  Arendas,Rice University,Assistant Coach,['Assistant Coach']
Darrell Hunter,University of Oregon,Head Strength Coach & Video Analytics Coordinator,['Strength & Conditioning Coach']
David Kopp,University of Florida,Pitching Coach,['Pitching Coach']
David Pierce,Rice University,Bixby Family Head Baseball Coach,['Assistant Coach']
Denton Sagerman,University of Indiana,Assistant Coach/Pitching & Catching,['Assistant Coach']
Drew LaComb,Air Force Academy,Assistant Coach,['Assistant Coach']
Dustin Glant,University of Indiana,Associate Coach/Pitching,['Assistant Coach']
Eddie Smith,University of Washington,Head Coach,['Head Coach']
Eric Gutierrez,Texas Tech University,Assistant Coach,['Assistant Coach']
Ford Pemberton,University of Memphis,"Assistant Coach (Hitting, Infield), Recruiting Coordinator","['Assistant Coach', 'Recruiting Coordinator']"
Gunner Leger,University of Louisiana at Lafayette,Assistant Coach/Pitching Coach,"['Assistant Coach', 'Pitching Coach']"
J-Bob Thomas,Texas Tech University,Assistant Coach,['Assistant Coach']
Jabari Brown,University of Missouri,Assistant Coach,['Assistant Coach']
Jack Karraker,Fresno State University,Assistant Coach,['Assistant Coach']
Jack Marder,University of Oregon,Assistant Coach,['Assistant Coach']
Jason Jackson,University of Alabama,Associate Head Coach,['Head Coach']
Jason Kelly,Texas A&M University,Associate Head Coach,['Head Coach']
Jeff Mercer,University of Indiana,Head Coach,['Head Coach']
Jeremy McMillan,Texas A&M University,Head Strength & Conditioning Coach,['Assistant Coach']
Joe Murray,University of Washington,Strength & Conditioning Coach,['Assistant Coach']
Joey Wong,Oregon State University,Assistant Coach,['Assistant Coach']
Josh Holliday,Oklahoma State University,Head Coach,['Head Coach']
Justin  Aspegren,Rice University,Assistant Coach,['Assistant Coach']
Keller Bradford,University of Southern Mississippi,Assistant Coach,['Assistant Coach']
Kerrick Jackson,University of Missouri,Head Coach,['Head Coach']
Kevin O'Sullivan,University of Florida,Head Coach,['Head Coach']
Kyle Winkler,Air Force Academy,Assistant Coach,['Assistant Coach']
Ladd Rhodes,University of Southern Mississippi,Assistant Coach,['Assistant Coach']
Lance  Berkman,Rice University,Volunteer Coach,['Volunteer Coach']
Marcus Hinkle,University of Oregon,Assistant Coach,['Assistant Coach']
Mark Ginther,Oklahoma State University,Assistant Coach/Recruiting Coordinator,"['Assistant Coach', 'Recruiting Coordinator']"
Mark Wasikowski,University of Oregon,Head Coach,['Head Coach']
Matt Deggs,University of Louisiana at Lafayette,Head Coach,['Head Coach']
Matt Riser,University of Memphis,Head Coach,['Head Coach']
Michael Byrne,University of Florida,Student Assistant Coach,['Assistant Coach']
Michael Earley,Texas A&M University,Head Coach,['Head Coach']
Mike Kazlausky,Air Force Academy,Head Coach,['Head Coach']
Mike Morrison,University of Alabama,Assistant Coach,['Assistant Coach']
Mitch Canham,Oregon State University,Pat Casey Head Baseball Coach,['Assistant Coach']
Parker Bangs,Rice University,Pitching Coach,['Pitching Coach']
Phillip Cebuhar,University of North Carolina at Charlotte,Assistant CoachHitting Coach,"['Assistant Coach', 'Hitting Coach']"
Reggie Willits,University of Oklahoma,Associate Head Coach,['Head Coach']
Rich Dorman,Oregon State University,Assistant Coach,['Assistant Coach']
Ritchie Price,Fresno State University,Assistant Coach,['Assistant Coach']
Rob Vaughn,University of Alabama,Head Coach,['Head Coach']
Rob Walton,Oklahoma State University,Assistant Coach/Pitching,['Assistant Coach']
Robert Woodard,University of North Carolina at Charlotte,Head CoachPitching Coach,"['Head Coach', 'Pitching Coach']"
Roman Gomez,Texas A&M University,Assistant Strength & Conditioning Coach,['Assistant Coach']
Russell Raley,University of Oklahoma,Assistant Coach,['Assistant Coach']
Ryan  McNerlin,Rice University,Assistant Strength and Conditioning Coach--Baseball,['Strength & Conditioning Coach']
Ryan Fineman,Troy University,Assistant Coach / Recruiting Coordinator,"['Assistant Coach', 'Recruiting Coordinator']"
Ryan Gipson,Oregon State University,Assistant Coach,['Assistant Coach']
Ryan Overland,Fresno State University,Head Coach,['Head Coach']
Ryan Reyes,Fresno State University,Sports Performance Coaching Assistant,['Assistant Coach']
Scott  Rolen,University of Indiana,Special Assistant to the Head Coach,['Head Coach']
Scott Mudler,University of Oklahoma,Student Coach,['Student Assistant Coach']
Sean Moore,University of Minnesota,Assistant Coach,['Assistant Coach']
Seth Thibodeaux,University of Louisiana at Lafayette,Associate Head Coach,['Head Coach']
Skip Johnson,University of Oklahoma,Head Coach,['Head Coach']
Skylar Meade,Troy University,Head Coach,['Head Coach']
Steve Foster,Texas Tech University,Pitching Coach,['Pitching Coach']
Taylor Black,University of Florida,Assistant Coach,['Assistant Coach']
Tim Jamieson,University of Missouri,Assistant Coach,['Assistant Coach']
Tim Tadlock,Texas Tech University,Head Coach,['Head Coach']
Toby Bicknell,University of North Carolina at Charlotte,Associate Head CoachRecruiting Coordinator,"['Head Coach', 'Recruiting Coordinator']"
Todd Butler,University of Oklahoma,Assistant Coach,['Assistant Coach']
Todd Makovicka,University of Southern Mississippi,Head Strength and Conditioning Coach for Olympic Sports,['Strength & Conditioning Coach']
Travis Creel,University of Southern Mississippi,Assistant Coach,['Assistant Coach']
Troy Buckley,Fresno State University,Assistant Coach,['Assistant Coach']
Ty McDevitt,University of Minnesota,Head Coach,['Head Coach']
Tyler Dawson,Air Force Academy,Assistant Coach,['Assistant Coach']
Victor Romero,Oklahoma State University,Assistant Coach,['Assistant Coach']
Will Fox,Texas A&M University,Assistant Coach,['Assistant Coach']
