name,school type
University of Florida,university
University of Missouri,university
University of Oklahoma,university
University of Alabama,university
University of Washington,university
University of Oregon,university
University of Indiana,university
University of Minnesota,university
Texas A&M University,university
University of Mississippi,university
University of Maryland,university
Rutgers University,university
A3 Academy,high school
Abington,high school
Allentown,high school
Alvin C. York Institute,high school
American Heritage HS,high school
Antioch,high school
Aquinas,high school
Archbishop Curley,high school
Archbishop Edward McCarthy,high school
Archbishop Spalding,high school
Arlington Catholic,high school
Austin,high school
Avon Old Farms,high school
Bakersfield Christian HS,high school
Baldivis Secondary College,high school
Bartram Trail (Jacksonville),high school
Basic HS,high school
Battle Ground,high school
Bayside Academy,high school
Bellevue HS,high school
Benilde-St.Margaret's,high school
Benjamin,high school
Berkeley Prep,high school
Berwick,high school
Biloxi,high school
Bishop Blanchet,high school
Bishop Dwenger,high school
Bishop Eustace,high school
Bishop Gorman HS,high school
Bishop John J. Snyder,high school
Bishop Miege HS,high school
Blair Oaks HS,high school
Blessed Trinity Catholic,high school
Bloomingdale (Alabama),high school
Bloomington North,high school
Blue Springs South HS,high school
Blue Valley West HS,high school
Bob Jones,high school
Boerne HS,high school
Boswell,high school
Brandon,high school
Briarwood Christian,high school
Brookwood,high school
Bryan,high school
Buchanan,high school
CBC HS,high school
Cactus Shadows,high school
Calallen,high school
Calhoun,high school
California,high school
Calvary Christian,high school
Calvert Hall College,high school
Canterbury,high school
Cardinal Hayes,high school
Cardinal Newman,high school
Carroll (Flora),high school
Cathedral Catholic,high school
Catholic HS,high school
Catocin HS,high school
Catoctin,high school
Centennial,high school
Center Grove,high school
Center Moriches,high school
Chamberlain,high school
Chaminade,high school
Charlotte Christian,high school
Chelsea,high school
Cherry Creek HS,high school
Cherry Hill West,high school
Christian Community Schools,high school
Churchill HS,high school
Cincinnati Country Day,high school
Clackamas HS,high school
College Station,high school
Collegiate School,high school
Collins Hill,high school
Colts Neck,high school
Columbia,high school
Columbus East,high school
Combine Academy,high school
Concordia Academy-Roseville,high school
Crean Lutheran,high school
Cretin Derham-Hall,high school
Cretin-Derham Hall,high school
Cullman,high school
Culver Military Academy,high school
Cumberland County Tech,high school
Dakota High School (Macomb),high school
De La Salle,high school
Deer Park HS,high school
Dell Rapids HS,high school
Desert Oasis HS,high school
Dewar HS,high school
Don Bosco Prep,high school
Doral Academy Charter,high school
Dublin,high school
Duluth East,high school
Duncan HS,high school
Durango HS,high school
Durant,high school
Dutchtown HS,high school
East Central,high school
East Ridge,high school
East Robertson,high school
Eastlake,high school
Edmond Santa Fe HS,high school
Effingham HS,high school
Elder,high school
Elkhorn South HS,high school
Emmaus,high school
Episcopal,high school
Eureka HS,high school
Evansville North,high school
Everett,high school
Fairfield College Preparatory,high school
Fairfield HS,high school
Fairview,high school
Faith Lutheran HS,high school
Fargo Davies HS,high school
Fife,high school
Fishers,high school
Fleming Island HS,high school
Flintridge Prep,high school
Flower Mound,high school
Foothills Composite,high school
Forest (Gulf Coast CC),high school
Forest Park,high school
Forney,high school
Fort Cobb-Broxton HS,high school
Fort Meade,high school
Fort Zumwalt West HS,high school
Fox Valley Lutheran,high school
Franklin,high school
Fredericksburg Christian School,high school
Frisco HS,high school
Fulshear,high school
Germantown,high school
Gibbons,high school
Glenelg,high school
Glenwood,high school
Grand Island Senior,high school
Grand Oaks,high school
Grand Rapids Christian,high school
Grayson HS,high school
Green Hope,high school
Greenville Senior,high school
Greenwood,high school
Grenada,high school
Gulfport,high school
Hamden Hall,high school
Harrison HS,high school
Hartselle,high school
Harvard Westlake,high school
Hatboro-Horsham HS,high school
Hazel Green,high school
Henry M. Jackson HS,high school
Heritage Academy,high school
Heritage Christian,high school
Hernando,high school
Herndon,high school
Hewitt-Trussville,high school
Highland Park HS,high school
Hillcrest,high school
Hilldale HS,high school
Hilton,high school
Holy Spirit,high school
Hopkins,high school
Houston HS,high school
Hunterdon School,high school
Huntingtown,high school
IMG Academy,high school
Ingraham,high school
Interlake,high school
International Baseball Academy,high school
Iona Prep,high school
JSerra Catholic,high school
Jackson Prep,high school
Jean Augustine Secondary,high school
Jeffersonville,high school
Jennings County,high school
Jesuit HS,high school
John Burroughs,high school
John H. Guyer,high school
Jonathan Law,high school
Kalama,high school
Kamehameha HS,high school
Keene,high school
Kellenburg Memorial HS,high school
Kenston,high school
Kentlake,high school
Kerr-Vance Academy,high school
Key West,high school
Kirkwood HS,high school
LaSalle,high school
Lady Bird Johnson HS,high school
Lafayette (Santa Fe College),high school
Lake Brantley,high school
Lake Creek,high school
Lake Travis,high school
Lakeland Christian,high school
Lakeside,high school
Langley Secondary School,high school
Lansing HS,high school
Lawrence Academy,high school
Lawrence Central,high school
Leadership Christian Academy,high school
Lee's Summit West HS,high school
Liberty,high school
Lincoln-Way Central,high school
Linton-Stockton,high school
Lockport Township,high school
London,high school
Lone Peak HS,high school
Lovejoy HS,high school
Lowndes,high school
Loyola Blakefield,high school
Lufkin HS,high school
Lynden,high school
Madison Central,high school
Madison-Ridgeland Academy,high school
Madisonville,high school
Magnolia Heights,high school
Mahtomedi HS,high school
Makawoo HS,high school
Manalapan,high school
Marcos De Niza,high school
Marcus,high school
Marion HS,high school
Marjory Stoneman Douglas,high school
Marlow HS,high school
Marquette HS,high school
Martin Luther King,high school
Marysville Getchell,high school
Mascoutah HS,high school
Mason,high school
Maypearl HS,high school
McAdory,high school
McCallie School,high school
McKinney Boyd HS,high school
McLennan CC,high school
Menlo School,high school
Miami Palmetto,high school
Miami Springs,high school
Millikan,high school
Milton,high school
Monsignor Kelly Catholic,high school
Mooresville,high school
Mortimer Jordan,high school
Mount Vernon,high school
Mountain Lakes,high school
Mountain View,high school
Murrieta Mesa HS,high school
Nacogdoches,high school
Nazareth Academy,high school
Neumann Goretti,high school
New Castle,high school
New Trier,high school
Newman Catholic,high school
Newport,high school
North Brunswick Township,high school
North Cobb Christian,high school
North East,high school
North Forsyth,high school
North Gwinnett,high school
North Kitsap,high school
North Lamar,high school
North Myrtle Beach (Clemson),high school
North Oconee (Stetson),high school
North Polk,high school
North Rockland,high school
Northridge,high school
Northwest Christian HS,high school
Notre Dame Academy,high school
Notre Dame Prep,high school
O'Dea,high school
Oak Grove,high school
Oak Mountain,high school
Oak Park & River Forest,high school
Oak Park HS,high school
Orangefield HS,high school
Orchard Lake Saint Mary's Prep,high school
Orchard Lake St. Mary's Prep,high school
Orono,high school
Owensboro,high school
Oxford,high school
P27 Academy,high school
PDG Academy,high school
PR Baseball Academy,high school
PRO5 Academy,high school
Pace Academy,high school
Palmetto HS,high school
Paradise,high school
Paris District,high school
Park Vista,high school
Parkview (Texas Tech),high school
Parkway South HS,high school
Pearl,high school
