College,Name,Jersey,Position,Class Year,Height,Weight,B/T,High School,Hometown,Season
University of Florida,Justin Nadeau,1,INF/OF,Jr.,72,195,L/R,Bartram Trail (Jacksonville),"St. John's, Fla.",2025
University of Florida,Ty Evans,2,OF,Sr.,74,215,R/R,Lakeland Christian,"Auburndale, Fla.",2025
University of Florida,Kyle Jones,3,OF,So.,75,185,R/R,North Oconee (Stetson),"Athens, Ga.",2025
University of Florida,Cade Kurland,4,INF,Jr.,71,190,R/R,Berkeley Prep,"Tampa, Fla.",2025
University of Florida,Blake Cyr,5,OF/INF,Jr.,71,190,R/R,Windermere (Miami),"Windermere, Fla.",2025
University of Florida,Bobby Boser,6,INF/OF,Sr.,73,215,R/R,Wiregrass Ranch (USF),"Wesley Chapel, Fla.",2025
University of Florida,Christian Rodriguez,8,RHP,R-Fr.,72,210,R/R,Marjory Stoneman Douglas,"Coral Springs, Fla.",2025
University of Florida,Luke McNeillie,9,RHP,So.,75,190,L/R,Milton,"Milton, Ga.",2025
University of Florida,Colby Shelton,10,INF,Jr.,72,205,L/R,Bloomingdale (Alabama),"Lexington, S.C.",2025
University of Florida,Brendan Lawson,11,INF,Fr.,75,215,L/R,P27 Academy,"Toronto, Ontario",2025
University of Florida,Liam Peterson,12,RHP,So.,77,220,R/R,Calvary Christian,"Palm Harbor, Fla.",2025
University of Florida,Landon Stripling,13,INF,So.,72,200,L/R,Parkview (Texas Tech),"Lawrenceville, Ga.",2025
University of Florida,Joshua Whritenour,15,RHP,Fr.,74,195,L/R,A3 Academy,"Tampa, Fla.",2025
University of Florida,Hayden Yost,16,OF,So.,73,195,L/L,Sickles,"Tampa, Fla.",2025
University of Florida,Jacob Gomberg,17,LHP,So.,70,180,L/L,Marjory Stoneman Douglas,"Coral Springs, Fla.",2025
University of Florida,Pierce Coppola,18,LHP,R-Jr.,80,245,L/L,Verona,"Verona, N.J.",2025
University of Florida,Jake Clemente,20,RHP,R-So.,75,225,R/R,Marjory Stoneman Douglas,"Coral Springs, Fla.",2025
University of Florida,Caden McDonald,21,RHP/1B,R-Fr.,75,200,R/R,Sickles,"Tampa, Fla.",2025
University of Florida,Jackson Barberi,22,RHP,Fr.,76,180,R/R,Brookwood,"Snellville, Ga.",2025
University of Florida,Billy Barlow,23,RHP,R-Jr.,74,220,R/R,North Myrtle Beach (Clemson),"North Myrtle Beach, S.C.",2025
University of Florida,Blake Brookins,24,OF,So.,77,225,L/R,Miami Palmetto,"Palmetto Bay, Fla.",2025
University of Florida,Kolt Myers,25,INF,Fr.,74,190,R/R,St. John's Country Day,"St. Augustine, Fla.",2025
University of Florida,Niko Janssens,26,LHP,Fr.,76,200,L/L,A3 Academy,"Spring Hill, Fla.",2025
University of Florida,Blaine Rowland,27,RHP,Fr.,75,220,R/R,Durant,"Plant City, Fla.",2025
University of Florida,Luke Heyman,28,C,Jr.,76,220,R/R,Lake Brantley,"Longwood, Fla.",2025
University of Florida,Brody Donay,29,C,Jr.,77,235,R/R,Lakeland Christian (Virginia Tech),"Lakeland, Fla.",2025
University of Florida,Ashton Wilson,30,OF/INF,Jr.,72,200,R/R,TNXL Academy (Charleston Southern),"Orlando, Fla.",2025
University of Florida,Frank Menendez,31,LHP,So.,73,215,L/L,Doral Academy Charter,"Miami, Fla.",2025
University of Florida,McCall Biemiller,33,LHP,Fr.,74,180,B/L,Tampa Jesuit,"Tampa, Fla.",2025
University of Florida,Alex Philpott,34,RHP,So.,78,200,R/R,Strawberry Crest,"Tampa, Fla.",2025
University of Florida,Brock Clayton,35,C/OF,Fr.,75,210,L/R,Pensacola Catholic,"Gulf Breeze, Fla.",2025
University of Florida,Matthew Jenkins,37,RHP,So.,78,195,R/R,Lafayette (Santa Fe College),"Live Oak, Fla.",2025
University of Florida,Mason Laurito,38,LHP,So.,72,175,L/L,Forest (Gulf Coast CC),"Ocala, Fla.",2025
University of Florida,Cole Bullen,40,C,R-Jr.,69,175,B/R,Villages Charter (College of Central Florida),"Belleview, Fla.",2025
University of Florida,Felix Ong,44,RHP,Fr.,76,220,R/R,Key West,"Key West, Fla.",2025
University of Florida,Schuyler Sandford,45,RHP,Fr.,78,215,R/R,St. John's Country Day,"Jacksonville, Fla.",2025
University of Florida,Aidan King,47,RHP,Fr.,74,195,L/R,Bishop John J. Snyder,"Jacksonville, Fla.",2025
University of Florida,Carson Montsdeoca,99,RHP,Fr.,75,205,R/R,Fort Meade,"Bowling Green, Fla.",2025
University of Missouri,Cameron Benson,1,INF/OF,Jr.,75,185,L/R,Southfield HS for the Arts & Technology,"Farmington Hills, Mich.",2025
University of Missouri,Brock Daniels,2,INF/OF,Jr.,73,195,L/R,St. John Vianney HS,"St. Louis, Mo.",2025
University of Missouri,Peyton Basler,3,INF,Jr.,72,195,S/R,Lansing HS,"Lansing, Kan.",2025
University of Missouri,Jedier Hernandez,4,C,Sr.,72,200,R/R,Trenton Catholic Academy,"Trenton, N.J.",2025
University of Missouri,Pierre Seals,5,OF,Sr.,72,210,R/R,Houston HS,"Memphis, Tenn.",2025
University of Missouri,Kaden Peer,7,OF/INF,So.,74,185,L/R,CBC HS,"Chesterfield, Mo.",2025
University of Missouri,Gehrig Goldbeck,10,INF,Jr.,73,175,L/R,Tonganoxie HS,"Kansas City, Kan.",2025
University of Missouri,Austin Henry,11,RHP,So.,77,220,R/R,Dell Rapids HS,"Dell Rapids, S.D.",2025
University of Missouri,Tyler Macon,12,INF,R-Fr.,71,175,R/R,Kirkwood HS,"Kirkwood, Mo.",2025
University of Missouri,Brady Picarelli,13,OF,Fr.,74,200,L/R,Eureka HS,"Eureka, Mo.",2025
University of Missouri,Isaiah Frost,14,OF,Sr.,71,197,L/L,Blue Springs South HS,"Lee's Summit, Mo.",2025
University of Missouri,Chris Patterson,17,INF,Fr.,75,190,R/R,Prestonwood Academy,"Frisco, Texas",2025
University of Missouri,Jackson Lovich,18,INF,Jr.,76,192,R/R,Blue Valley West HS,"Overland Park, Kan.",2025
University of Missouri,Keegan Knutson,19,INF,Jr.,70,195,R/R,Combine Academy,"Janesville, Wis.",2025
University of Missouri,Trey Lawrence,20,INF/RHP,Fr.,75,180,R/R,Palmetto HS,"Palmetto, Fla.",2025
University of Missouri,Sam Horn,21,RHP,So.,76,217,R/R,Collins Hill,"Lawrenceville, Ga.",2025
University of Missouri,Kadden Drew,22,LHP,Jr.,74,210,R/L,Notre Dame Prep,"Scottsdale, Ariz.",2025
University of Missouri,Ian Lohse,23,LHP,Gr.,72,199,L/L,Marquette HS,"St. Louis, Mo.",2025
University of Missouri,Trey Callaway,24,UTIL,Fr.,73,215,S/R,Dutchtown HS,"Atlanta, Ga.",2025
University of Missouri,Brock Lucas,25,RHP,Jr.,75,229,R/R,St. Elizabeth HS,"St. Elizabeth, Mo.",2025
University of Missouri,Victor Christal,26,RHP,Fr.,72,190,R/R,Bishop Miege HS,"Raytown, Mo.",2025
University of Missouri,PJ Green,27,OF/RHP,Fr.,74,195,R/R,Sandy Creek HS,"Tyrone, Ga.",2025
University of Missouri,Josh Kirchhoff,28,RHP,Jr.,75,210,L/R,Concordia Academy-Roseville,"Little Canada, Minn.",2025
University of Missouri,James Vaughn,29,RHP,Gr.,77,240,R/R,Collegiate School,"New York, N.Y.",2025
University of Missouri,Wil Libbert,30,LHP,R-Fr.,73,205,L/L,Blair Oaks HS,"St. Thomas, Mo.",2025
University of Missouri,Kaden Jacobi,32,RHP,Sr.,75,220,R/R,Liberty HS,"O'Fallon, Mo.",2025
University of Missouri,Daniel Wissler,35,LHP,Jr.,74,185,L/L,Fort Zumwalt West HS,"O'Fallon, Mo.",2025
University of Missouri,Aeneas Clark,36,RHP,Jr.,75,205,R/R,Northwest Christian HS,"Peoria, Ariz.",2025
University of Missouri,Aden Malpass,37,OF,Fr.,72,175,L/L,John Carroll Catholic HS,"Hoover, Ala.",2025
University of Missouri,Blake Simpson,38,INF,Jr.,74,185,L/R,Pickering HS,"Toronto, Ontario",2025
University of Missouri,Charlie Miller,39,RHP,So.,75,185,R/R,Russellville HS,"Lohman, Mo.",2025
University of Missouri,Brady Kehlenbrink,40,LHP,Fr.,74,205,R/L,Parkway South HS,"Ballwin, Mo.",2025
University of Missouri,Nic Smith,41,LHP,Jr.,75,198,L/L,Alvin C. York Institute,"Jamestown, Tenn.",2025
University of Missouri,Javyn Pimental,43,LHP,Sr.,75,213,L/L,Kamehameha HS,"Kane'ohe, Hawai'i",2025
University of Missouri,Xavier Lovett,44,RHP,Gr.,72,190,R/R,Westfield HS,"Houston, Texas",2025
University of Missouri,Cayden Nicoletto,48,OF,Sr.,72,190,L/L,Baldivis Secondary College,"Perth, Australia",2025
University of Missouri,Tony Neubeck,49,LHP,Jr.,74,237,L/L,Mahtomedi HS,"Hugo, Minn.",2025
University of Missouri,Ben Smith,50,RHP,So.,74,195,R/R,Catholic HS,"Springfield, Mo.",2025
University of Missouri,Jaylen Merchant,51,RHP,So.,72,180,R/R,Grayson HS,"Grayson, Ga.",2025
University of Missouri,Josh McDevitt,54,RHP,So.,74,195,R/R,Effingham HS,"Effingham, Ill.",2025
University of Missouri,Seth McCartney,58,RHP,Jr.,72,200,R/R,Brandon HS,"Brandon, Miss.",2025
University of Missouri,Mateo Serna,88,C,So.,72,195,S/R,American Heritage HS,"Doral, Fla.",2025
University of Oklahoma,Jason Walk,1,OF,So.,69,166,S/R,Harrison HS,"Acworth, Ga.",2025
University of Oklahoma,Easton Carmichael,2,C,Jr.,73,200,R/R,Prosper HS,"Prosper, Texas",2025
University of Oklahoma,Christian Hoffman,3,OF,Jr.,75,229,L/R,V. Sue Cleveland HS,"Albuquerque, N.M.",2025
University of Oklahoma,Mason Hamlin,4,INF,Jr.,74,211,R/R,Falcon HS,"Falcon, Colo.",2025
University of Oklahoma,Dawson Willis,5,INF,Jr.,76,184,R/R,Ruston HS,"Ruston, La.",2025
University of Oklahoma,Kyle Branch,6,INF,Fr.,71,182,R/R,Lovejoy HS,"Lucas, Texas",2025
University of Oklahoma,Jaxon Willits,7,INF,So.,72,202,S/R,Fort Cobb-Broxton HS,"Fort Cobb, Okla.",2025
University of Oklahoma,Taylor Tatum,8,OF,Fr.,70,208,R/R,Longview HS,"Longview, Texas",2025
