School,Name,Jersey,Position,Class Year,Height,Weight,High School
University Of Florida,Justin Nadeau,1,INF/OF,Jr.,6' 0'',195 lbs,Bartram Trail (Jacksonville)
University Of Florida,Ty Evans,2,OF,Sr.,6' 2'',215 lbs,Lakeland Christian
University Of Florida,Kyle Jones,3,OF,So.,6' 3'',185 lbs,North Oconee (Stetson)
University Of Florida,Cade Kurland,4,INF,Jr.,5' 11'',190 lbs,Berkeley Prep
University Of Florida,Blake Cyr,5,OF/INF,Jr.,5' 11'',190 lbs,Windermere (Miami)
University Of Florida,Bobby Boser,6,INF/OF,Sr.,6' 1'',215 lbs,Wiregrass Ranch (USF)
University Of Florida,Christian Rodriguez,8,RHP,R-Fr.,6' 0'',210 lbs,Marjory Stoneman Douglas
University Of Florida,Luke McNeillie,9,RHP,So.,6' 3'',190 lbs,Milton
University Of Florida,Colby Shelton,10,INF,Jr.,6' 0'',205 lbs,Bloomingdale (Alabama)
University Of Florida,Brendan Lawson,11,INF,Fr.,6' 3'',215 lbs,P27 Academy
University Of Florida,Liam Peterson,12,RHP,So.,6' 5'',220 lbs,Calvary Christian
University Of Florida,Landon Stripling,13,INF,So.,6' 0'',200 lbs,Parkview (Texas Tech)
University Of Florida,Joshua Whritenour,15,RHP,Fr.,6' 2'',195 lbs,A3 Academy
University Of Florida,Hayden Yost,16,OF,So.,6' 1'',195 lbs,Sickles
University Of Florida,Jacob Gomberg,17,LHP,So.,5' 10'',180 lbs,Marjory Stoneman Douglas
University Of Florida,Pierce Coppola,18,LHP,R-Jr.,6' 8'',245 lbs,Verona
University Of Florida,Jake Clemente,20,RHP,R-So.,6' 3'',225 lbs,Marjory Stoneman Douglas
University Of Florida,Caden McDonald,21,RHP/1B,R-Fr.,6' 3'',200 lbs,Sickles
University Of Florida,Jackson Barberi,22,RHP,Fr.,6' 4'',180 lbs,Brookwood
University Of Florida,Billy Barlow,23,RHP,R-Jr.,6' 2'',220 lbs,North Myrtle Beach (Clemson)
University Of Florida,Blake Brookins,24,OF,So.,6' 5'',225 lbs,Miami Palmetto
University Of Florida,Kolt Myers,25,INF,Fr.,6' 2'',190 lbs,St. John's Country Day
University Of Florida,Niko Janssens,26,LHP,Fr.,6' 4'',200 lbs,A3 Academy
University Of Florida,Blaine Rowland,27,RHP,Fr.,6' 3'',220 lbs,Durant
University Of Florida,Luke Heyman,28,C,Jr.,6' 4'',220 lbs,Lake Brantley
University Of Florida,Brody Donay,29,C,Jr.,6' 5'',235 lbs,Lakeland Christian (Virginia Tech)
University Of Florida,Ashton Wilson,30,OF/INF,Jr.,6' 0'',200 lbs,TNXL Academy (Charleston Southern)
University Of Florida,Frank Menendez,31,LHP,So.,6' 1'',215 lbs,Doral Academy Charter
University Of Florida,McCall Biemiller,33,LHP,Fr.,6' 2'',180 lbs,Tampa Jesuit
University Of Florida,Alex Philpott,34,RHP,So.,6' 6'',200 lbs,Strawberry Crest
University Of Florida,Brock Clayton,35,C/OF,Fr.,6' 3'',210 lbs,Pensacola Catholic
University Of Florida,Matthew Jenkins,37,RHP,So.,6' 6'',195 lbs,Lafayette (Santa Fe College)
University Of Florida,Mason Laurito,38,LHP,So.,6' 0'',175 lbs,Forest (Gulf Coast CC)
University Of Florida,Cole Bullen,40,C,R-Jr.,5' 9'',175 lbs,Villages Charter (College of Central Florida)
University Of Florida,Felix Ong,44,RHP,Fr.,6' 4'',220 lbs,Key West
University Of Florida,Schuyler Sandford,45,RHP,Fr.,6' 6'',215 lbs,St. John's Country Day
University Of Florida,Aidan King,47,RHP,Fr.,6' 2'',195 lbs,Bishop John J. Snyder
University Of Florida,Carson Montsdeoca,99,RHP,Fr.,6' 3'',205 lbs,Fort Meade
University Of Missouri,Cameron Benson,1,INF/OF,Jr.,6' 3'',185 lbs,Southfield HS for the Arts & Technology
University Of Missouri,Brock Daniels,2,INF/OF,Jr.,6' 1'',195 lbs,St. John Vianney HS
