name,school type
University of Florida,university
University of Missouri,university
University of Oklahoma,university
A3 Academy,high school
Alvin C. York Institute,high school
American Heritage HS,high school
Baldivis Secondary College,high school
Bartram Trail (Jacksonville),high school
Berkeley Prep,high school
Bishop John J. Snyder,high school
Bishop Miege HS,high school
Blair Oaks HS,high school
Bloomingdale (Alabama),high school
Blue Springs South HS,high school
Blue Valley West HS,high school
Boerne HS,high school
Brandon HS,high school
Brookwood,high school
CBC HS,high school
Calvary Christian,high school
Catholic HS,high school
Catocin HS,high school
Cherry Creek HS,high school
Collegiate School,high school
Collins Hill,high school
Combine Academy,high school
Concordia Academy-Roseville,high school
De La Salle HS,high school
Deer Park HS,high school
Dell Rapids HS,high school
Dewar HS,high school
Doral Academy Charter,high school
Duncan HS,high school
Durango HS,high school
Durant,high school
Dutchtown HS,high school
Edmond Santa Fe HS,high school
Effingham HS,high school
Eureka HS,high school
Fairfield HS,high school
Faith Lutheran HS,high school
Fargo Davies HS,high school
Fleming Island HS,high school
Forest (Gulf Coast CC),high school
Fort Cobb-Broxton HS,high school
Fort Meade,high school
Fort Zumwalt West HS,high school
Franklin HS,high school
Frisco HS,high school
Grayson HS,high school
Harrison HS,high school
Highland Park HS,high school
Hilldale HS,high school
Houston HS,high school
IMG Academy,high school
John Carroll Catholic HS,high school
Kamehameha HS,high school
Key West,high school
Kirkwood HS,high school
Lady Bird Johnson HS,high school
Lafayette (Santa Fe College),high school
Lake Brantley,high school
Lakeland Christian,high school
Lakeland Christian (Virginia Tech),high school
Lansing HS,high school
Lee's Summit West HS,high school
Liberty HS,high school
Lone Peak HS,high school
Lovejoy HS,high school
Lufkin HS,high school
Mahtomedi HS,high school
Makawoo HS,high school
Marion HS,high school
Marjory Stoneman Douglas,high school
Marlow HS,high school
Marquette HS,high school
Mascoutah HS,high school
Maypearl HS,high school
McKinney Boyd HS,high school
McLennan CC,high school
Miami Palmetto,high school
Milton,high school
North Myrtle Beach (Clemson),high school
North Oconee (Stetson),high school
Northwest Christian HS,high school
Notre Dame Prep,high school
Orangefield HS,high school
P27 Academy,high school
Palmetto HS,high school
Parkview (Texas Tech),high school
Parkway South HS,high school
Pearland HS,high school
Pensacola Catholic,high school
Pickering HS,high school
Plano East HS,high school
Prestonwood Academy,high school
Puerto Rico Baseball Academy HS,high school
Russellville HS,high school
Sandy Creek HS,high school
Sickles,high school
Southfield HS for the Arts & Technology,high school
St. Elizabeth HS,high school
St. John Vianney HS,high school
St. John's Country Day,high school
Strawberry Crest,high school
TNXL Academy,high school
TNXL Academy (Charleston Southern),high school
Tampa Jesuit,high school
Tonganoxie HS,high school
Trenton Catholic Academy,high school
Verona,high school
Villages Charter (College of Central Florida),high school
Vista Murrieta HS,high school
Wall HS,high school
Weatherford HS,high school
Weatherford JC,high school
"Weatherford, JC",high school
Westfield HS,high school
White Oak HS,high school
Windermere (Miami),high school
Wiregrass Ranch (USF),high school
